burnup,boron,group,absorption,capture,fission,nu_fission,transport,out_scatter,diffusion
0.0,1020.4,2,0.13785,0.0588478,0.0790019,0.192504,1.02787,0.00209435,0.324296
0.0,1071.4,2,0.138378,0.0594335,0.0789445,0.192364,1.02767,0.00210126,0.32436
0.0,1122.5,2,0.138907,0.0600195,0.0788872,0.192224,1.02746,0.00210817,0.324423
0.0,1173.5,2,0.139434,0.0606034,0.0788302,0.192085,1.02727,0.00211506,0.324486
0.0,1224.5,2,0.13996,0.0611863,0.0787733,0.191947,1.02707,0.00212192,0.324548
0.0,1275.5,2,0.140487,0.0617695,0.0787172,0.19181,1.02687,0.0021288,0.32461
0.0,1326.5,2,0.141011,0.0623506,0.0786607,0.191673,1.02668,0.00213564,0.324671
0.0,1377.6,2,0.141536,0.0629318,0.0786044,0.191535,1.02649,0.00214248,0.324731
0.0,1428.6,2,0.142059,0.0635111,0.0785483,0.191399,1.0263,0.00214929,0.32479
0.0,102.0,2,0.128204,0.048134,0.0800695,0.195105,1.03191,0.00196734,0.323027
0.0,1479.6,2,0.142582,0.0640895,0.0784924,0.191262,1.02612,0.00215608,0.324849
0.0,1530.6,2,0.143104,0.0646671,0.0784366,0.191127,1.02593,0.00216287,0.324907
0.0,1581.6,2,0.143625,0.0652437,0.0783811,0.190991,1.02575,0.00216963,0.324964
0.0,1632.7,2,0.144146,0.0658206,0.0783256,0.190856,1.02557,0.0021764,0.325021
0.0,1683.7,2,0.144666,0.0663955,0.0782705,0.190722,1.0254,0.00218314,0.325078
0.0,1734.7,2,0.145185,0.0669695,0.0782155,0.190588,1.02522,0.00218987,0.325133
0.0,1785.7,2,0.145703,0.0675426,0.0781606,0.190454,1.02505,0.00219658,0.325188
0.0,1836.7,2,0.146221,0.0681149,0.078106,0.190321,1.02488,0.00220328,0.325243
0.0,1887.8,2,0.146739,0.0686874,0.0780514,0.190188,1.02471,0.00220998,0.325297
0.0,1938.8,2,0.147255,0.069258,0.0779972,0.190056,1.02454,0.00221665,0.32535
0.0,153.1,2,0.128747,0.0487386,0.0800083,0.194956,1.03166,0.00197453,0.323104
0.0,1989.8,2,0.147771,0.0698277,0.0779431,0.189924,1.02437,0.0022233,0.325402
0.0,2040.8,2,0.148286,0.0703965,0.0778891,0.189792,1.02421,0.00222995,0.325454
0.0,2091.8,2,0.1488,0.0709645,0.0778354,0.189661,1.02405,0.00223658,0.325506
0.0,2142.9,2,0.149315,0.0715328,0.0777817,0.189531,1.02389,0.00224321,0.325556
0.0,2193.9,2,0.149827,0.0720992,0.0777283,0.1894,1.02373,0.00224981,0.325607
0.0,2244.9,2,0.15034,0.0726647,0.0776751,0.189271,1.02357,0.0022564,0.325656
0.0,2295.9,2,0.150851,0.0732294,0.077622,0.189141,1.02342,0.00226298,0.325705
0.0,2346.9,2,0.151362,0.0737933,0.0775691,0.189013,1.02327,0.00226954,0.325754
0.0,2398.0,2,0.151874,0.0743574,0.0775163,0.188884,1.02312,0.00227611,0.325802
0.0,2449.0,2,0.152383,0.0749197,0.0774637,0.188756,1.02297,0.00228264,0.325849
0.0,204.1,2,0.129289,0.049341,0.0799475,0.194808,1.03142,0.0019817,0.323179
0.0,2500.0,2,0.152892,0.0754811,0.0774114,0.188628,1.02282,0.00228917,0.325896
0.0,255.1,2,0.129829,0.0499424,0.0798869,0.19466,1.03118,0.00198885,0.323255
0.0,306.1,2,0.130369,0.0505428,0.0798265,0.194513,1.03094,0.00199599,0.323329
0.0,357.1,2,0.130909,0.0511423,0.0797666,0.194367,1.03071,0.00200311,0.323402
